config	groups	banks	bigram_buckets	value_scale	gate_cap	seed	status	target_vram_mb	peak_vram_mb	val_bpb	num_steps	attnres_final_memory_gate	attnres_final_memory_delta_norm
size_1x16k	1	1	16384	0.25	0.85	45	ok	26085	6176.9	2.895427	8	0.835938	95.570511
size_1x64k	1	1	65536	0.25	0.85	45	ok	26085	6287.9	2.894273	8	0.835938	94.521812
size_2x64k	1	2	65536	0.25	0.85	45	ok	26085	6431.9	2.888448	8	0.835938	88.586166
size_4x64k	1	4	65536	0.25	0.85	45	ok	26085	6720.2	2.878385	8	0.835938	78.690346
size_8x64k	1	8	65536	0.25	0.85	45	ok	26085	7296.7	2.864595	8	0.835938	66.353165
size_4x256k	1	4	262144	0.25	0.85	45	ok	26085	8615.6	2.876002	8	0.835938	76.905136
size_8x256k	1	8	262144	0.25	0.85	45	ok	26085	11686.3	2.862115	8	0.835938	65.170914
size_4x1m	1	4	1048576	0.25	0.85	45	ok	26085	17826.5	2.875183	8	0.835938	76.286362
size_8x1m	1	8	1048576	0.25	0.85	45	ok	26085	30112.1	2.861349	8	0.835938	64.802559
groups_2_8x256k	2	8	262144	0.25	0.85	45	ok	26085	11686.3	2.862115	8	0.835938	65.170914
groups_4_8x256k	4	8	262144	0.25	0.85	45	ok	26085	11686.3	2.862115	8	0.835938	65.170914
groups_8_8x256k	8	8	262144	0.25	0.85	45	ok	26085	11686.3	2.862115	8	0.835938	65.170914
groups_2_4x1m	2	4	1048576	0.25	0.85	45	ok	26085	17826.5	2.875183	8	0.835938	76.286362
groups_4_4x1m	4	4	1048576	0.25	0.85	45	ok	26085	17826.5	2.875183	8	0.835938	76.286362
groups_8_4x1m	8	4	1048576	0.25	0.85	45	ok	26085	17826.5	2.875183	8	0.835938	76.286362
