config	seed	reference_lr	scale	delta_scale	weight_cap	val_bpb	num_steps	attnres_final_latest	attnres_final_x0	attnres_final_register	attnres_aux_loss	peak_vram_mb
control_cap00	45	0.0012	0.3125	1.0	0.0	2.078945	264	0.003410	0.003488	0.968147	0.018361	6257.4
cap085	45	0.0012	0.3125	1.0	0.85	2.062307	264	0.004239	0.058666	0.850000	0.014112	6257.9
cap090	45	0.0012	0.3125	1.0	0.90	2.056555	264	0.003477	0.024576	0.900000	0.015842	6257.9
cap095	45	0.0012	0.3125	1.0	0.95	2.060377	264	0.002695	0.007548	0.949987	0.017672	6257.9
cap090_d05	45	0.0012	0.3125	0.5	0.90	2.074864	264	0.000731	0.394969	0.594859	0.006841	6257.9
control_cap00	46	0.0012	0.3125	1.0	0.0	2.061141	264	0.010380	0.047496	0.844384	0.013924	6257.4
cap085	46	0.0012	0.3125	1.0	0.85	2.045261	264	0.004024	0.060776	0.850000	0.014112	6257.9
cap090	46	0.0012	0.3125	1.0	0.90	2.048632	264	0.004130	0.030496	0.900000	0.015842	6257.9
cap095	46	0.0012	0.3125	1.0	0.95	2.061148	264	0.009794	0.046062	0.850043	0.014114	6257.9
cap090_d05	46	0.0012	0.3125	0.5	0.90	2.055516	264	0.004727	0.409802	0.533463	0.005480	6257.9
control_cap00	47	0.0012	0.3125	1.0	0.0	2.060464	264	0.009143	0.053963	0.845458	0.013960	6257.4
cap085	47	0.0012	0.3125	1.0	0.85	2.044004	264	0.005244	0.056655	0.850000	0.014112	6257.9
cap090	47	0.0012	0.3125	1.0	0.90	2.046512	264	0.005524	0.030986	0.899747	0.015833	6257.9
cap095	47	0.0012	0.3125	1.0	0.95	2.061009	264	0.010013	0.055604	0.838100	0.013715	6257.9
cap090_d05	47	0.0012	0.3125	0.5	0.90	2.056971	264	0.009381	0.029929	0.898582	0.015792	6257.9
control_cap00	48	0.0012	0.3125	1.0	0.0	2.067180	264	0.008453	0.027554	0.890710	0.015513	6257.4
cap085	48	0.0012	0.3125	1.0	0.85	2.048467	264	0.004603	0.061738	0.850000	0.014112	6257.9
cap090	48	0.0012	0.3125	1.0	0.90	2.051463	264	0.003430	0.033662	0.900000	0.015842	6257.9
cap095	48	0.0012	0.3125	1.0	0.95	2.054992	264	0.004301	0.009872	0.949932	0.017670	6257.9
cap090_d05	48	0.0012	0.3125	0.5	0.90	2.066374	264	0.004377	0.329581	0.610135	0.007203	6257.9
