config	seed	reference_lr	scale	scale_start	scale_warmup_steps	delta_scale	weight_cap	val_bpb	num_steps	attnres_layer_latest	attnres_layer_x0	attnres_layer_register	attnres_final_latest	attnres_final_x0	attnres_final_register	attnres_aux_loss	peak_vram_mb
control_final	45	0.0012	0.3125	0.3125	0	1.0	0.0	2.078945	264	0.313715	0.311351	0.000000	0.003410	0.003488	0.968147	0.018361	6257.4
late_onset_final	45	0.0012	0.3125	0.0	64	1.0	0.0	2.090762	264	0.357473	0.308437	0.000000	0.002085	0.001415	0.981269	0.018867	6257.4
delta_half_final	45	0.0012	0.3125	0.3125	0	0.5	0.0	2.069747	264	0.315310	0.363186	0.000000	0.003161	0.235562	0.728802	0.010334	6257.4
capped_final	45	0.0012	0.3125	0.3125	0	1.0	0.9	2.056555	264	0.336021	0.327300	0.000000	0.003477	0.024576	0.900000	0.015842	6257.9
control_final	46	0.0012	0.3125	0.3125	0	1.0	0.0	2.061141	264	0.397816	0.359675	0.000000	0.010380	0.047496	0.844384	0.013924	6257.4
late_onset_final	46	0.0012	0.3125	0.0	64	1.0	0.0	2.054177	264	0.357031	0.365295	0.000000	0.010314	0.121089	0.747126	0.010867	6257.4
delta_half_final	46	0.0012	0.3125	0.3125	0	0.5	0.0	2.055181	264	0.228154	0.520873	0.000000	0.005292	0.406946	0.532970	0.005470	6257.4
capped_final	46	0.0012	0.3125	0.3125	0	1.0	0.9	2.048632	264	0.401913	0.334893	0.000000	0.004130	0.030496	0.900000	0.015842	6257.9
control_final	47	0.0012	0.3125	0.3125	0	1.0	0.0	2.060464	264	0.367471	0.349431	0.000000	0.009143	0.053963	0.845458	0.013960	6257.4
late_onset_final	47	0.0012	0.3125	0.0	64	1.0	0.0	2.074561	264	0.451309	0.321099	0.000000	0.008314	0.019896	0.900056	0.015844	6257.4
delta_half_final	47	0.0012	0.3125	0.3125	0	0.5	0.0	2.070783	264	0.393992	0.373292	0.000000	0.012051	0.064131	0.843830	0.013906	6257.4
capped_final	47	0.0012	0.3125	0.3125	0	1.0	0.9	2.046512	264	0.382889	0.334806	0.000000	0.005524	0.030986	0.899747	0.015833	6257.9
control_final	48	0.0012	0.3125	0.3125	0	1.0	0.0	2.067180	264	0.465126	0.318850	0.000000	0.008453	0.027554	0.890710	0.015513	6257.4
late_onset_final	48	0.0012	0.3125	0.0	64	1.0	0.0	2.067936	264	0.401169	0.365944	0.000000	0.008444	0.054526	0.823732	0.013243	6257.4
delta_half_final	48	0.0012	0.3125	0.3125	0	0.5	0.0	2.066602	264	0.327160	0.460137	0.000000	0.005498	0.331372	0.603919	0.007055	6257.4
capped_final	48	0.0012	0.3125	0.3125	0	1.0	0.9	2.051463	264	0.411283	0.319662	0.000000	0.003430	0.033662	0.900000	0.015842	6257.9
