config	seed	peak_vram_mb	val_bpb	num_steps	attnres_final_memory_delta_norm	attnres_final_memory_gate
golf_final_lightblend_r64_b32768_c090	45	4622.0	2.576849	64	11.155197	0.882812
golf_final_lightblend_r96_b32768_c090	45	4635.0	2.568932	64	10.885040	0.882812
golf_final_lightblend_r64_b65536_c090	45	4646.0	2.566984	64	11.307771	0.882812
golf_final_lightblend_r96_b65536_c090	45	4673.0	2.558165	64	10.697386	0.882812
golf_final_lightblend_r64_b32768_c095	45	4622.0	2.557658	64	18.095448	0.929688
golf_final_lightblend_r64_b32768_c090	46	4622.0	2.567670	64	10.562756	0.882812
golf_final_lightblend_r96_b32768_c090	46	4635.0	2.562208	64	10.526754	0.882812
golf_final_lightblend_r64_b65536_c090	46	4646.0	2.558151	64	10.553174	0.882812
golf_final_lightblend_r96_b65536_c090	46	4673.0	2.552320	64	10.333904	0.882812
golf_final_lightblend_r64_b32768_c095	46	4622.0	2.552293	64	18.068827	0.929688
