config	seed	reference_lr	source	rank	value_scale	gate_cap	gate_bias_init	val_bpb	num_steps	attnres_final_memory_gate	attnres_final_memory_gate_std	attnres_final_memory_delta_norm	peak_vram_mb
strong_baseline	45	0.0012	off	0	0.0	0.0	0.0	2.152158	264				6094.7
static_full_s025_c085	45	0.0012	full	0	0.2500	0.85	4.0	2.047891	264	0.839844	0.000000	8.616794	6150.7
static_factorized_r32_s025_c085	45	0.0012	factorized	32	0.2500	0.85	4.0	2.149002	264	0.839844	0.000000	10.835648	6143.1
static_factorized_r64_s025_c085	45	0.0012	factorized	64	0.2500	0.85	4.0	2.100374	264	0.839844	0.000000	9.351893	6145.4
static_factorized_r128_s025_c085	45	0.0012	factorized	128	0.2500	0.85	4.0	2.067906	264	0.839844	0.000000	9.789368	6148.1
static_tied_s025_c085	45	0.0012	tied	0	0.2500	0.85	4.0	2.051008	264	0.839844	0.000000	8.213210	6143.7
strong_baseline	46	0.0012	off	0	0.0	0.0	0.0	2.128361	264				6094.7
static_full_s025_c085	46	0.0012	full	0	0.2500	0.85	4.0	2.045001	264	0.839844	0.000000	8.684622	6150.7
static_factorized_r32_s025_c085	46	0.0012	factorized	32	0.2500	0.85	4.0	2.153630	264	0.839844	0.000000	10.347851	6143.1
static_factorized_r64_s025_c085	46	0.0012	factorized	64	0.2500	0.85	4.0	2.102890	264	0.839844	0.000000	8.948971	6145.4
static_factorized_r128_s025_c085	46	0.0012	factorized	128	0.2500	0.85	4.0	2.068189	264	0.839844	0.000000	9.828924	6148.1
static_tied_s025_c085	46	0.0012	tied	0	0.2500	0.85	4.0	2.051498	264	0.839844	0.000000	8.188854	6143.7
strong_baseline	47	0.0012	off	0	0.0	0.0	0.0	2.092640	264				6094.7
static_full_s025_c085	47	0.0012	full	0	0.2500	0.85	4.0	2.054110	264	0.839844	0.000000	7.921259	6150.7
static_factorized_r32_s025_c085	47	0.0012	factorized	32	0.2500	0.85	4.0	2.154500	264	0.839844	0.000000	9.697001	6143.1
static_factorized_r64_s025_c085	47	0.0012	factorized	64	0.2500	0.85	4.0	2.105500	264	0.839844	0.000000	8.977058	6145.4
static_factorized_r128_s025_c085	47	0.0012	factorized	128	0.2500	0.85	4.0	2.072288	264	0.839844	0.000000	9.319889	6148.1
static_tied_s025_c085	47	0.0012	tied	0	0.2500	0.85	4.0	2.048896	264	0.839844	0.000000	8.020145	6143.7
strong_baseline	48	0.0012	off	0	0.0	0.0	0.0	2.243005	264				6094.7
static_full_s025_c085	48	0.0012	full	0	0.2500	0.85	4.0	2.046396	264	0.839844	0.000000	8.820129	6150.7
static_factorized_r32_s025_c085	48	0.0012	factorized	32	0.2500	0.85	4.0	2.154916	264	0.839844	0.000000	9.560038	6143.1
static_factorized_r64_s025_c085	48	0.0012	factorized	64	0.2500	0.85	4.0	2.104186	264	0.839844	0.000000	8.777056	6145.4
static_factorized_r128_s025_c085	48	0.0012	factorized	128	0.2500	0.85	4.0	2.071815	264	0.839844	0.000000	9.411901	6148.1
static_tied_s025_c085	48	0.0012	tied	0	0.2500	0.85	4.0	2.050638	264	0.839844	0.000000	8.167576	6143.7
