config	seed	reference_lr	source	residual_rank	bigram_buckets	value_scale	gate_cap	gate_bias_init	residual_scale	bigram_scale	val_bpb	num_steps	attnres_final_memory_gate	attnres_final_memory_gate_std	attnres_final_memory_delta_norm	peak_vram_mb
strong_baseline	45	0.0012	off	0	0	0.0	0.0	0.0	0.0	0.0	2.152158	264				6094.7
static_full_s025_c085	45	0.0012	full	0	0	0.2500	0.85	4.0	0.0	0.0	2.047891	264	0.839844	0.000000	8.616794	6150.7
tied_s025_c080	45	0.0012	tied	0	0	0.2500	0.80	4.0	0.0	0.0	2.051669	264	0.789062	0.000000	5.854777	6143.7
tied_residual_r64_s025_c080	45	0.0012	tied_residual	64	0	0.2500	0.80	4.0	1.0	0.0	2.051669	264	0.789062	0.000000	5.854777	6143.8
tied_residual_r128_s025_c080	45	0.0012	tied_residual	128	0	0.2500	0.80	4.0	1.0	0.0	2.051669	264	0.789062	0.000000	5.854777	6147.1
tied_bigram_b8192_s025_c080	45	0.0012	tied_bigram	0	8192	0.2500	0.80	4.0	0.0	1.0	1.926740	264	0.789062	0.000000	5.435200	6159.9
tied_bigram_b16384_s025_c080	45	0.0012	tied_bigram	0	16384	0.2500	0.80	4.0	0.0	1.0	1.907219	264	0.789062	0.000000	5.384284	6176.9
strong_baseline	46	0.0012	off	0	0	0.0	0.0	0.0	0.0	0.0	2.128361	264				6094.7
static_full_s025_c085	46	0.0012	full	0	0	0.2500	0.85	4.0	0.0	0.0	2.045001	264	0.839844	0.000000	8.684622	6150.7
tied_s025_c080	46	0.0012	tied	0	0	0.2500	0.80	4.0	0.0	0.0	2.045893	264	0.789062	0.000000	6.195108	6143.7
tied_residual_r64_s025_c080	46	0.0012	tied_residual	64	0	0.2500	0.80	4.0	1.0	0.0	2.045893	264	0.789062	0.000000	6.195108	6143.8
tied_residual_r128_s025_c080	46	0.0012	tied_residual	128	0	0.2500	0.80	4.0	1.0	0.0	2.045893	264	0.789062	0.000000	6.195108	6147.1
tied_bigram_b8192_s025_c080	46	0.0012	tied_bigram	0	8192	0.2500	0.80	4.0	0.0	1.0	1.930059	264	0.789062	0.000000	5.189169	6159.9
tied_bigram_b16384_s025_c080	46	0.0012	tied_bigram	0	16384	0.2500	0.80	4.0	0.0	1.0	1.892160	264	0.789062	0.000000	6.456735	6176.9
strong_baseline	47	0.0012	off	0	0	0.0	0.0	0.0	0.0	0.0	2.092640	264				6094.7
static_full_s025_c085	47	0.0012	full	0	0	0.2500	0.85	4.0	0.0	0.0	2.054110	264	0.839844	0.000000	7.921259	6150.7
tied_s025_c080	47	0.0012	tied	0	0	0.2500	0.80	4.0	0.0	0.0	2.046730	264	0.789062	0.000000	6.303044	6143.7
tied_residual_r64_s025_c080	47	0.0012	tied_residual	64	0	0.2500	0.80	4.0	1.0	0.0	2.059036	264	0.789062	0.000000	5.510388	6143.8
tied_residual_r128_s025_c080	47	0.0012	tied_residual	128	0	0.2500	0.80	4.0	1.0	0.0	2.049298	264	0.789062	0.000000	6.298260	6147.1
tied_bigram_b8192_s025_c080	47	0.0012	tied_bigram	0	8192	0.2500	0.80	4.0	0.0	1.0	1.924840	264	0.789062	0.000000	5.545842	6159.9
tied_bigram_b16384_s025_c080	47	0.0012	tied_bigram	0	16384	0.2500	0.80	4.0	0.0	1.0	1.896242	264	0.789062	0.000000	6.197322	6176.9
strong_baseline	48	0.0012	off	0	0	0.0	0.0	0.0	0.0	0.0	2.243005	264				6094.7
static_full_s025_c085	48	0.0012	full	0	0	0.2500	0.85	4.0	0.0	0.0	2.046396	264	0.839844	0.000000	8.820129	6150.7
tied_s025_c080	48	0.0012	tied	0	0	0.2500	0.80	4.0	0.0	0.0	2.051901	264	0.789062	0.000000	5.909641	6143.7
tied_residual_r64_s025_c080	48	0.0012	tied_residual	64	0	0.2500	0.80	4.0	1.0	0.0	2.060100	264	0.789062	0.000000	5.493906	6143.8
tied_residual_r128_s025_c080	48	0.0012	tied_residual	128	0	0.2500	0.80	4.0	1.0	0.0	2.049825	264	0.789062	0.000000	6.271153	6147.1
tied_bigram_b8192_s025_c080	48	0.0012	tied_bigram	0	8192	0.2500	0.80	4.0	0.0	1.0	1.923438	264	0.789062	0.000000	5.520970	6159.9
tied_bigram_b16384_s025_c080	48	0.0012	tied_bigram	0	16384	0.2500	0.80	4.0	0.0	1.0	1.900917	264	0.789062	0.000000	5.716387	6176.9
