config	seed	reference_lr	value_scale	gate_cap	gate_bias_init	delta_scale	val_bpb	num_steps	attnres_final_register	attnres_final_memory_gate	attnres_final_memory_delta_norm	peak_vram_mb
strong_baseline	45	0.0012	0.0	0.0	0.0	0.0	2.152158	264	0.000000			6094.7
projected_cap085	45	0.0012	0.3125	0.85	0.0	1.0	2.062307	264	0.850000			6257.9
final_memory_static	45	0.0012	0.3125	0.85	4.0	1.0	2.050374	264	0.000000	0.835938	10.200817	6127.8
final_memory_dynamic	45	0.0012	0.3125	0.85	4.0	1.0	2.052848	264	0.000000	0.851562	11.216434	6188.0
final_memory_dynamic_cap090	45	0.0012	0.3125	0.90	4.0	1.0	2.051380	264	0.000000	0.898438	16.953239	6188.0
strong_baseline	46	0.0012	0.0	0.0	0.0	0.0	2.128361	264	0.000000			6094.7
projected_cap085	46	0.0012	0.3125	0.85	0.0	1.0	2.045261	264	0.850000			6257.9
final_memory_static	46	0.0012	0.3125	0.85	4.0	1.0	2.050273	264	0.000000	0.835938	10.206976	6127.8
final_memory_dynamic	46	0.0012	0.3125	0.85	4.0	1.0	2.055780	264	0.000000	0.851562	10.613857	6188.0
final_memory_dynamic_cap090	46	0.0012	0.3125	0.90	4.0	1.0	2.055978	264	0.000000	0.898438	15.303833	6188.0
strong_baseline	47	0.0012	0.0	0.0	0.0	0.0	2.092640	264	0.000000			6094.7
projected_cap085	47	0.0012	0.3125	0.85	0.0	1.0	2.044004	264	0.850000			6257.9
final_memory_static	47	0.0012	0.3125	0.85	4.0	1.0	2.053524	264	0.000000	0.835938	9.491119	6127.8
final_memory_dynamic	47	0.0012	0.3125	0.85	4.0	1.0	2.060439	264	0.000000	0.851562	9.766218	6188.0
final_memory_dynamic_cap090	47	0.0012	0.3125	0.90	4.0	1.0	2.061502	264	0.000000	0.898438	13.559684	6188.0
strong_baseline	48	0.0012	0.0	0.0	0.0	0.0	2.243005	264	0.000000			6094.7
projected_cap085	48	0.0012	0.3125	0.85	0.0	1.0	2.048467	264	0.850000			6257.9
final_memory_static	48	0.0012	0.3125	0.85	4.0	1.0	2.050949	264	0.000000	0.835938	10.007925	6127.8
final_memory_dynamic	48	0.0012	0.3125	0.85	4.0	1.0	2.063164	264	0.000000	0.851562	8.840305	6188.0
final_memory_dynamic_cap090	48	0.0012	0.3125	0.90	4.0	1.0	2.053582	264	0.000000	0.898438	15.858473	6188.0
