config	seed	reference_lr	value_scale	gate_cap	gate_bias_init	val_bpb	num_steps	attnres_final_memory_gate	attnres_final_memory_delta_norm	peak_vram_mb
strong_baseline	45	0.0012	0.0	0.0	0.0	2.152158	264			6094.7
projected_cap085	45	0.0012	0.3125	0.85	0.0	2.062307	264			6257.9
static_c080_s03125	45	0.0012	0.3125	0.80	4.0	2.050359	264	0.785156	7.707413	6127.8
static_c085_s02500	45	0.0012	0.2500	0.85	4.0	2.047886	264	0.835938	8.335934	6127.8
static_c085_s03125	45	0.0012	0.3125	0.85	4.0	2.050374	264	0.835938	10.200817	6127.8
static_c085_s03750	45	0.0012	0.3750	0.85	4.0	2.055842	264	0.835938	11.251635	6127.8
static_c090_s03125	45	0.0012	0.3125	0.90	4.0	2.053078	264	0.882812	13.551764	6127.8
strong_baseline	46	0.0012	0.0	0.0	0.0	2.128361	264			6094.7
projected_cap085	46	0.0012	0.3125	0.85	0.0	2.045261	264			6257.9
static_c080_s03125	46	0.0012	0.3125	0.80	4.0	2.052359	264	0.785156	7.339431	6127.8
static_c085_s02500	46	0.0012	0.2500	0.85	4.0	2.046824	264	0.835938	8.223412	6127.8
static_c085_s03125	46	0.0012	0.3125	0.85	4.0	2.050273	264	0.835938	10.206976	6127.8
static_c085_s03750	46	0.0012	0.3750	0.85	4.0	2.049937	264	0.835938	12.021680	6127.8
static_c090_s03125	46	0.0012	0.3125	0.90	4.0	2.052898	264	0.882812	13.000801	6127.8
strong_baseline	47	0.0012	0.0	0.0	0.0	2.092640	264			6094.7
projected_cap085	47	0.0012	0.3125	0.85	0.0	2.044004	264			6257.9
static_c080_s03125	47	0.0012	0.3125	0.80	4.0	2.055491	264	0.785156	6.655769	6127.8
static_c085_s02500	47	0.0012	0.2500	0.85	4.0	2.055252	264	0.835938	7.281129	6127.8
static_c085_s03125	47	0.0012	0.3125	0.85	4.0	2.053524	264	0.835938	9.491119	6127.8
static_c085_s03750	47	0.0012	0.3750	0.85	4.0	2.058444	264	0.835938	10.512802	6127.8
static_c090_s03125	47	0.0012	0.3125	0.90	4.0	2.056417	264	0.882812	13.563290	6127.8
strong_baseline	48	0.0012	0.0	0.0	0.0	2.243005	264			6094.7
projected_cap085	48	0.0012	0.3125	0.85	0.0	2.048467	264			6257.9
static_c080_s03125	48	0.0012	0.3125	0.80	4.0	2.054433	264	0.785156	7.352729	6127.8
static_c085_s02500	48	0.0012	0.2500	0.85	4.0	2.048557	264	0.835938	8.390033	6127.8
static_c085_s03125	48	0.0012	0.3125	0.85	4.0	2.050949	264	0.835938	10.007925	6127.8
static_c085_s03750	48	0.0012	0.3750	0.85	4.0	2.062284	264	0.835938	9.683106	6127.8
static_c090_s03125	48	0.0012	0.3125	0.90	4.0	2.060860	264	0.882812	11.572824	6127.8
