config	seed	reference_lr	source	value_scale	gate_cap	gate_bias_init	val_bpb	num_steps	attnres_final_memory_gate	attnres_final_memory_gate_std	attnres_final_memory_delta_norm	peak_vram_mb
static_full_s025_c085	45	0.0012	full	0.2500	0.85	4.0	2.047891	264	0.839844	0.000000	8.616794	6150.7
tied_s020_c080	45	0.0012	tied	0.2000	0.80	4.0	2.057618	264	0.789062	0.000000	4.697167	6143.7
tied_s020_c085	45	0.0012	tied	0.2000	0.85	4.0	2.054893	264	0.839844	0.000000	6.382203	6143.7
tied_s025_c080	45	0.0012	tied	0.2500	0.80	4.0	2.051669	264	0.789062	0.000000	5.854777	6143.7
tied_s025_c085	45	0.0012	tied	0.2500	0.85	4.0	2.051008	264	0.839844	0.000000	8.213210	6143.7
tied_s025_c090	45	0.0012	tied	0.2500	0.90	4.0	2.055995	264	0.882812	0.000000	10.577854	6143.7
tied_s030_c085	45	0.0012	tied	0.3000	0.85	4.0	2.056397	264	0.839844	0.000000	8.993420	6143.7
tied_s03125_c085	45	0.0012	tied	0.3125	0.85	4.0	2.048683	264	0.839844	0.000000	10.550400	6143.7
static_full_s025_c085	46	0.0012	full	0.2500	0.85	4.0	2.045001	264	0.839844	0.000000	8.684622	6150.7
tied_s020_c080	46	0.0012	tied	0.2000	0.80	4.0	2.049795	264	0.789062	0.000000	4.883543	6143.7
tied_s020_c085	46	0.0012	tied	0.2000	0.85	4.0	2.049676	264	0.839844	0.000000	6.754449	6143.7
tied_s025_c080	46	0.0012	tied	0.2500	0.80	4.0	2.045893	264	0.789062	0.000000	6.195108	6143.7
tied_s025_c085	46	0.0012	tied	0.2500	0.85	4.0	2.051498	264	0.839844	0.000000	8.188854	6143.7
tied_s025_c090	46	0.0012	tied	0.2500	0.90	4.0	2.057813	264	0.882812	0.000000	9.615561	6143.7
tied_s030_c085	46	0.0012	tied	0.3000	0.85	4.0	2.051380	264	0.839844	0.000000	9.488989	6143.7
tied_s03125_c085	46	0.0012	tied	0.3125	0.85	4.0	2.054616	264	0.839844	0.000000	9.494255	6143.7
static_full_s025_c085	47	0.0012	full	0.2500	0.85	4.0	2.054110	264	0.839844	0.000000	7.921259	6150.7
tied_s020_c080	47	0.0012	tied	0.2000	0.80	4.0	2.038263	264	0.789062	0.000000	5.422326	6143.7
tied_s020_c085	47	0.0012	tied	0.2000	0.85	4.0	2.049256	264	0.839844	0.000000	6.688951	6143.7
tied_s025_c080	47	0.0012	tied	0.2500	0.80	4.0	2.046730	264	0.789062	0.000000	6.303044	6143.7
tied_s025_c085	47	0.0012	tied	0.2500	0.85	4.0	2.048896	264	0.839844	0.000000	8.020145	6143.7
tied_s025_c090	47	0.0012	tied	0.2500	0.90	4.0	2.048962	264	0.882812	0.000000	11.633799	6143.7
tied_s030_c085	47	0.0012	tied	0.3000	0.85	4.0	2.057057	264	0.839844	0.000000	8.861038	6143.7
tied_s03125_c085	47	0.0012	tied	0.3125	0.85	4.0	2.051502	264	0.839844	0.000000	9.802647	6143.7
static_full_s025_c085	48	0.0012	full	0.2500	0.85	4.0	2.046396	264	0.839844	0.000000	8.820129	6150.7
tied_s020_c080	48	0.0012	tied	0.2000	0.80	4.0	2.058293	264	0.789062	0.000000	4.633980	6143.7
tied_s020_c085	48	0.0012	tied	0.2000	0.85	4.0	2.055601	264	0.839844	0.000000	6.366122	6143.7
tied_s025_c080	48	0.0012	tied	0.2500	0.80	4.0	2.051901	264	0.789062	0.000000	5.909641	6143.7
tied_s025_c085	48	0.0012	tied	0.2500	0.85	4.0	2.050638	264	0.839844	0.000000	8.167576	6143.7
tied_s025_c090	48	0.0012	tied	0.2500	0.90	4.0	2.058020	264	0.882812	0.000000	9.618699	6143.7
tied_s030_c085	48	0.0012	tied	0.3000	0.85	4.0	2.051535	264	0.839844	0.000000	9.586393	6143.7
tied_s03125_c085	48	0.0012	tied	0.3125	0.85	4.0	2.051245	264	0.839844	0.000000	9.865038	6143.7
