config	seed	mode	source	groups	banks	bigram_buckets	value_scale	gate_cap	delta_scale	peak_vram_mb	val_bpb	num_steps	attnres_final_memory_total	attnres_final_memory_unigram	attnres_final_memory_bigram_bank0	attnres_final_memory_bigram_bank1	attnres_final_memory_bigram_bank2	attnres_final_memory_bigram_bank3	attnres_final_latest	attnres_final_x0	attnres_final_register	attnres_final_entropy	attnres_wte_grad_norm	attnres_final_memory_embed_grad_norm	attnres_final_memory_proj_grad_norm	attnres_final_memory_gate_bias_grad_norm	attnres_final_memory_gate_proj_grad_norm	attnres_final_memory_unified_bias_grad_norm	attnres_final_memory_unified_proj_grad_norm
strong_baseline	45	off	off	0	0	0	0.0	0.0	0.0	6094.7	2.152158	264							0.002210	0.413843	0.000000	0.716535	0.133675						
blend_ngram_ref	45	static	tied_bigram	4	4	1048576	0.25	0.85	1.0	17826.5	1.843824	264							0.299167	0.050411	0.000000	1.268909	0.076350	0.133175		0.000735			
unified_bigram_only_static	45	unified_static	tied_bigram_only	1	4	1048576	0.25	0.85	1.0	17397.7	1.912296	264	0.849936		0.191474	0.216383	0.196571	0.245507	0.000871	0.034756	0.849936	1.593307	0.091832	437.727692				0.002331	
unified_bigram_only_projected	45	unified_projected	tied_bigram_only	1	4	1048576	0.25	0.85	1.0	17409.7	1.901344	264	0.849707		0.744304	0.035567	0.015304	0.054532	0.000831	0.026023	0.849707	0.715074	0.089724	537.076965				0.000184	0.006226
unified_ngram_static	45	unified_static	tied_bigram	1	4	1048576	0.25	0.85	1.0	17414.2	1.881627	264	0.850000	0.463141	0.097242	0.096423	0.096664	0.096530	0.005605	0.093286	0.850000	1.634162	0.163746	351.758392				0.029713	
unified_ngram_projected	45	unified_projected	tied_bigram	1	4	1048576	0.25	0.85	1.0	17425.3	1.865641	264	0.850000	0.559267	0.290430	0.000040	0.000140	0.000123	0.011994	0.030074	0.850000	1.224445	0.168127	613.785400				0.003270	0.077864
strong_baseline	46	off	off	0	0	0	0.0	0.0	0.0	6094.7	2.128361	264							0.010318	0.452291	0.000000	0.782822	0.133224						
blend_ngram_ref	46	static	tied_bigram	4	4	1048576	0.25	0.85	1.0	17826.5	1.839840	264							0.142495	0.329646	0.000000	1.805303	0.079868	0.131071		0.000630			
unified_bigram_only_static	46	unified_static	tied_bigram_only	1	4	1048576	0.25	0.85	1.0	17397.7	1.981247	264	0.849998		0.176910	0.233708	0.177153	0.262228	0.003469	0.050346	0.849998	1.739845	0.068255	451.708252				0.001773	
unified_bigram_only_projected	46	unified_projected	tied_bigram_only	1	4	1048576	0.25	0.85	1.0	17409.7	1.964763	264	0.849973		0.709889	0.041379	0.024117	0.074588	0.001820	0.042566	0.849973	0.920321	0.070159	494.117004				0.000371	0.009754
unified_ngram_static	46	unified_static	tied_bigram	1	4	1048576	0.25	0.85	1.0	17414.2	1.883076	264	0.850000	0.474269	0.094758	0.094186	0.093828	0.092959	0.013476	0.097560	0.850000	1.627510	0.165037	311.923462				0.030288	
unified_ngram_projected	46	unified_projected	tied_bigram	1	4	1048576	0.25	0.85	1.0	17425.3	1.869891	264	0.850000	0.545970	0.008841	0.000032	0.221707	0.073451	0.014924	0.027452	0.850000	1.436370	0.172747	487.470306				0.001130	0.043833
strong_baseline	47	off	off	0	0	0	0.0	0.0	0.0	6094.7	2.092640	264							0.000344	0.516268	0.000000	0.634624	0.145810						
blend_ngram_ref	47	static	tied_bigram	4	4	1048576	0.25	0.85	1.0	17826.5	1.839194	264							0.175042	0.249585	0.000000	1.788185	0.078489	0.130468		0.000951			
unified_bigram_only_static	47	unified_static	tied_bigram_only	1	4	1048576	0.25	0.85	1.0	17397.7	1.913737	264	0.849972		0.181448	0.221967	0.188456	0.258100	0.000909	0.035058	0.849972	1.608481	0.090031	476.016144				0.000359	
unified_bigram_only_projected	47	unified_projected	tied_bigram_only	1	4	1048576	0.25	0.85	1.0	17409.7	1.901243	264	0.849870		0.745818	0.037085	0.015106	0.051861	0.000782	0.025132	0.849870	0.719447	0.097395	555.537537				0.001040	0.019935
unified_ngram_static	47	unified_static	tied_bigram	1	4	1048576	0.25	0.85	1.0	17414.2	1.892591	264	0.850000	0.475864	0.094412	0.093201	0.094010	0.092512	0.005032	0.115229	0.850000	1.582500	0.171663	341.154694				0.040701	
unified_ngram_projected	47	unified_projected	tied_bigram	1	4	1048576	0.25	0.85	1.0	17425.3	1.877539	264	0.850000	0.553747	0.118632	0.000730	0.000119	0.176771	0.006818	0.033095	0.850000	1.409328	0.168113	326.908936				0.002899	0.067959
strong_baseline	48	off	off	0	0	0	0.0	0.0	0.0	6094.7	2.243005	264							0.007562	0.244680	0.000000	0.836204	0.145956						
blend_ngram_ref	48	static	tied_bigram	4	4	1048576	0.25	0.85	1.0	17826.5	1.841023	264							0.177993	0.253866	0.000000	1.602741	0.078473	0.132656		0.000687			
unified_bigram_only_static	48	unified_static	tied_bigram_only	1	4	1048576	0.25	0.85	1.0	17397.7	1.955295	264	0.849997		0.174322	0.234059	0.176708	0.264909	0.007925	0.044312	0.849997	1.747685	0.075728	441.564606				0.002254	
unified_bigram_only_projected	48	unified_projected	tied_bigram_only	1	4	1048576	0.25	0.85	1.0	17409.7	1.940967	264	0.849968		0.016528	0.040631	0.730837	0.061971	0.003875	0.035497	0.849968	0.884008	0.075782	609.048462				0.000391	0.010181
unified_ngram_static	48	unified_static	tied_bigram	1	4	1048576	0.25	0.85	1.0	17414.2	1.882923	264	0.850000	0.461177	0.097614	0.097024	0.097455	0.096730	0.015385	0.095342	0.850000	1.640858	0.161159	343.654480				0.033041	
unified_ngram_projected	48	unified_projected	tied_bigram	1	4	1048576	0.25	0.85	1.0	17425.3	1.866572	264	0.850000	0.551147	0.285703	0.000119	0.012862	0.000169	0.005299	0.027971	0.850000	1.262745	0.159985	530.729309				0.004909	0.097083
