config	groups	banks	bigram_buckets	value_scale	gate_cap	seed	peak_vram_mb	val_bpb	num_steps	attnres_final_memory_gate	attnres_final_memory_gate_std	attnres_final_memory_delta_norm
ref_4x1m_g1	1	4	1048576	0.25	0.85	45	17826.5	1.843833	264	0.839844	0.000000	11.920500
ref_4x1m_g4	4	4	1048576	0.25	0.85	45	17826.5	1.843824	264	0.839844	0.000000	11.723331
bigram_5x1m_g1	1	5	1048576	0.25	0.85	45	20898.5	1.840280	264	0.835938	0.000000	13.931835
bigram_6x1m_g1	1	6	1048576	0.25	0.85	45	23969.8	1.846827	264	0.839844	0.000000	13.874097
bigram_7x1m_g1	1	7	1048576	0.25	0.85	45	27042.1	1.856457	264	0.839844	0.000000	13.552114
bigram_6x1m_g4	4	6	1048576	0.25	0.85	45	23969.8	1.847965	264	0.839844	0.000000	13.786732
ref_4x1m_g1	1	4	1048576	0.25	0.85	46	17826.5	1.839399	264	0.839844	0.000000	12.932436
ref_4x1m_g4	4	4	1048576	0.25	0.85	46	17826.5	1.839840	264	0.839844	0.000000	12.886210
bigram_5x1m_g1	1	5	1048576	0.25	0.85	46	20898.5	1.849694	264	0.839844	0.000000	12.569098
bigram_6x1m_g1	1	6	1048576	0.25	0.85	46	23969.8	1.855054	264	0.839844	0.000000	12.885294
bigram_7x1m_g1	1	7	1048576	0.25	0.85	46	27042.1	1.858022	264	0.839844	0.000000	13.491230
bigram_6x1m_g4	4	6	1048576	0.25	0.85	46	23969.8	1.854508	264	0.839844	0.000000	13.000332
ref_4x1m_g1	1	4	1048576	0.25	0.85	47	17826.5	1.839032	264	0.839844	0.000000	12.830244
ref_4x1m_g4	4	4	1048576	0.25	0.85	47	17826.5	1.839194	264	0.839844	0.000000	12.735472
bigram_5x1m_g1	1	5	1048576	0.25	0.85	47	20898.5	1.840103	264	0.835938	0.000000	14.089695
bigram_6x1m_g1	1	6	1048576	0.25	0.85	47	23969.8	1.841550	264	0.835938	0.000000	14.723988
bigram_7x1m_g1	1	7	1048576	0.25	0.85	47	27042.1	1.844057	264	0.835938	0.000000	15.837641
bigram_6x1m_g4	4	6	1048576	0.25	0.85	47	23969.8	1.842067	264	0.835938	0.001694	14.777701
ref_4x1m_g1	1	4	1048576	0.25	0.85	48	17826.5	1.842376	264	0.839844	0.000000	12.279699
ref_4x1m_g4	4	4	1048576	0.25	0.85	48	17826.5	1.841023	264	0.839844	0.000000	12.245514
bigram_5x1m_g1	1	5	1048576	0.25	0.85	48	20898.5	1.848166	264	0.839844	0.000000	12.678506
bigram_6x1m_g1	1	6	1048576	0.25	0.85	48	23969.8	1.845707	264	0.839844	0.000000	14.442278
bigram_7x1m_g1	1	7	1048576	0.25	0.85	48	27042.1	1.854285	264	0.839844	0.000000	13.538095
bigram_6x1m_g4	4	6	1048576	0.25	0.85	48	23969.8	1.846272	264	0.839844	0.001694	14.040504
