config	groups	banks	bigram_buckets	value_scale	gate_cap	seed	peak_vram_mb	val_bpb	num_steps	attnres_final_memory_gate	attnres_final_memory_gate_std	attnres_final_memory_delta_norm
current_ref_1g_1b_16k	1	1	16384	0.25	0.85	45	6176.9	1.895978	264	0.839844	0.000000	8.441339
current_ref_1g_1b_16k	1	1	16384	0.25	0.85	46	6176.9	1.896612	264	0.839844	0.000000	8.155331
current_ref_1g_1b_16k	1	1	16384	0.25	0.85	47	6176.9	1.901557	264	0.839844	0.000000	7.596636
current_ref_1g_1b_16k	1	1	16384	0.25	0.85	48	6176.9	1.904114	264	0.839844	0.000000	7.683812
bigram_g1_bk8_b1048576	1	8	1048576	0.25	0.85	45	30112.1	1.859144	264	0.839844	0.000000	13.808041
bigram_g1_bk8_b1048576	1	8	1048576	0.25	0.85	46	30112.1	1.847873	264	0.835938	0.000000	16.237637
bigram_g1_bk8_b1048576	1	8	1048576	0.25	0.85	47	30112.1	1.851031	264	0.839844	0.000000	15.936623
bigram_g1_bk8_b1048576	1	8	1048576	0.25	0.85	48	30112.1	1.857569	264	0.839844	0.000000	14.020805
bigram_g1_bk4_b1048576	1	4	1048576	0.25	0.85	45	17826.5	1.843833	264	0.839844	0.000000	11.920500
bigram_g1_bk4_b1048576	1	4	1048576	0.25	0.85	46	17826.5	1.839399	264	0.839844	0.000000	12.932436
bigram_g1_bk4_b1048576	1	4	1048576	0.25	0.85	47	17826.5	1.839032	264	0.839844	0.000000	12.830244
bigram_g1_bk4_b1048576	1	4	1048576	0.25	0.85	48	17826.5	1.842376	264	0.839844	0.000000	12.279699
bigram_g2_bk4_b1048576	2	4	1048576	0.25	0.85	45	17826.5	1.843824	264	0.839844	0.000000	11.723331
bigram_g2_bk4_b1048576	2	4	1048576	0.25	0.85	46	17826.5	1.839872	264	0.839844	0.000000	12.852489
bigram_g2_bk4_b1048576	2	4	1048576	0.25	0.85	47	17826.5	1.840336	264	0.839844	0.000000	12.724085
bigram_g2_bk4_b1048576	2	4	1048576	0.25	0.85	48	17826.5	1.840796	264	0.839844	0.000000	12.384390
bigram_g4_bk4_b1048576	4	4	1048576	0.25	0.85	45	17826.5	1.843824	264	0.839844	0.000000	11.723331
bigram_g4_bk4_b1048576	4	4	1048576	0.25	0.85	46	17826.5	1.839840	264	0.839844	0.000000	12.886210
bigram_g4_bk4_b1048576	4	4	1048576	0.25	0.85	47	17826.5	1.839194	264	0.839844	0.000000	12.735472
bigram_g4_bk4_b1048576	4	4	1048576	0.25	0.85	48	17826.5	1.841023	264	0.839844	0.000000	12.245514
