stage	budget_min	config	seed	peak_vram_mb	val_bpb	num_steps	training_seconds	total_seconds	attnres_final_memory_delta_norm	attnres_final_memory_gate
broad10m	10	golf_attnres_tiny	45	4579.6	1.730284	3604	600.0	612.0		
broad10m	10	golf_final_lightblend_r64_b32768_c090	45	4622.0	1.705605	3336	600.0	612.8	9.128858	0.882812
broad10m	10	golf_final_lightblend_r64_b32768_c095	45	4622.0	1.711769	3295	600.2	613.3	15.514950	0.929688
broad10m	10	golf_final_lightblend_r96_b32768_c090	45	4635.0	1.696011	3293	600.1	613.1	8.881072	0.882812
broad10m	10	golf_final_lightblend_r128_b32768_c090	45	4648.1	1.672327	3298	600.1	613.4	9.021596	0.878906
broad10m	10	golf_final_lightblend_r64_b65536_c090	45	4646.0	1.679478	3283	600.0	612.0	9.040606	0.882812
broad10m	10	golf_final_lightblend_r96_b65536_c090	45	4673.0	1.663675	3283	600.0	613.1	9.157188	0.882812
broad10m	10	golf_attnres_tiny	46	4579.6	1.715319	3578	600.0	611.6		
broad10m	10	golf_final_lightblend_r64_b32768_c090	46	4622.0	1.700272	3280	600.1	613.2	9.178493	0.882812
broad10m	10	golf_final_lightblend_r64_b32768_c095	46	4622.0	1.711714	3295	600.2	613.3	15.601912	0.929688
broad10m	10	golf_final_lightblend_r96_b32768_c090	46	4635.0	1.683432	3341	600.1	612.9	9.536180	0.882812
broad10m	10	golf_final_lightblend_r128_b32768_c090	46	4648.1	1.673815	3354	600.1	612.8	9.025103	0.878906
broad10m	10	golf_final_lightblend_r64_b65536_c090	46	4646.0	1.678231	3298	600.0	613.2	9.196798	0.882812
broad10m	10	golf_final_lightblend_r96_b65536_c090	46	4673.0	1.665523	3294	600.2	613.4	9.476326	0.882812
broad10m	10	golf_attnres_tiny	47	4579.6	1.722394	3560	600.1	612.2		
broad10m	10	golf_final_lightblend_r64_b32768_c090	47	4622.0	1.698697	3331	600.0	612.7	9.299398	0.882812
broad10m	10	golf_final_lightblend_r64_b32768_c095	47	4622.0	1.709670	3289	600.1	613.1	15.734989	0.929688
broad10m	10	golf_final_lightblend_r96_b32768_c090	47	4635.0	1.694478	3356	600.1	612.6	8.875935	0.882812
broad10m	10	golf_final_lightblend_r128_b32768_c090	47	4648.1	1.684268	3291	600.2	613.4	8.901344	0.882812
broad10m	10	golf_final_lightblend_r64_b65536_c090	47	4646.0	1.682819	3302	600.1	613.2	9.163119	0.882812
broad10m	10	golf_final_lightblend_r96_b65536_c090	47	4673.0	1.670818	3281	600.1	613.0	9.248362	0.882812
broad10m	10	golf_attnres_tiny	48	4579.6	1.726302	3552	600.1	611.7		
broad10m	10	golf_final_lightblend_r64_b32768_c090	48	4622.0	1.689135	3287	600.1	611.9	9.169865	0.878906
broad10m	10	golf_final_lightblend_r64_b32768_c095	48	4622.0	1.698830	3295	600.1	612.1	15.113290	0.925781
broad10m	10	golf_final_lightblend_r96_b32768_c090	48	4635.0	1.681080	3281	600.1	612.3	9.033466	0.878906
broad10m	10	golf_final_lightblend_r128_b32768_c090	48	4648.1	1.647329	4210	600.0	611.0	8.862185	0.875000
broad10m	10	golf_final_lightblend_r64_b65536_c090	48	4646.0	1.650245	4208	600.1	611.0	9.128710	0.875000
broad10m	10	golf_final_lightblend_r96_b65536_c090	48	4673.0	1.634846	4468	600.1	610.4	9.032164	0.875000
holdout20m	20	golf_attnres_tiny	49	4579.6	1.547850	9266	1200.0	1211.2		
holdout20m	20	golf_final_lightblend_r64_b32768_c095	49	4622.0	1.608901	8789	1200.1	1212.1	9.791077	0.875000
holdout20m	20	golf_final_lightblend_r96_b65536_c090	49	4673.0	1.561040	8827	1200.1	1211.8	6.685925	0.828125
holdout20m	20	golf_final_lightblend_r128_b32768_c090	49	4648.1	1.574829	8847	1200.1	1212.3	6.501687	0.824219
holdout20m	20	golf_final_lightblend_r96_b65536_c095	49	4673.0	1.591358	8931	1200.0	1211.9	9.350284	0.875000
holdout20m	20	golf_attnres_tiny	50	4579.6	1.552545	9587	1200.1	1211.0		
holdout20m	20	golf_final_lightblend_r64_b32768_c095	50	4622.0	1.601764	8994	1200.0	1211.7	8.155707	0.851562
holdout20m	20	golf_final_lightblend_r96_b65536_c090	50	4673.0	1.581085	8785	1200.1	1212.0	6.528958	0.828125
holdout20m	20	golf_final_lightblend_r128_b32768_c090	50	4648.1	1.575144	8651	1200.0	1212.2	6.485192	0.820312
