config	seed	reference_lr	groups	value_scale	gate_cap	gate_bias_init	val_bpb	num_steps	attnres_final_memory_gate	attnres_final_memory_gate_std	attnres_final_memory_delta_norm	peak_vram_mb
strong_baseline	45	0.0012	0	0.0	0.0	0.0	2.152158	264				6094.7
static_g1_s025_c085	45	0.0012	1	0.2500	0.85	4.0	2.047891	264	0.839844	0.000000	8.616794	6150.7
static_g2_s025_c085	45	0.0012	2	0.2500	0.85	4.0	2.047877	264	0.839844	0.000000	8.695405	6150.7
static_g4_s025_c085	45	0.0012	4	0.2500	0.85	4.0	2.046604	264	0.839844	0.000000	8.680153	6150.9
static_g2_s03125_c085	45	0.0012	2	0.3125	0.85	4.0	2.053096	264	0.839844	0.000000	9.925317	6150.7
static_g4_s03125_c085	45	0.0012	4	0.3125	0.85	4.0	2.047940	264	0.839844	0.000000	10.461275	6150.9
strong_baseline	46	0.0012	0	0.0	0.0	0.0	2.128361	264				6094.7
static_g1_s025_c085	46	0.0012	1	0.2500	0.85	4.0	2.045001	264	0.839844	0.000000	8.684622	6150.7
static_g2_s025_c085	46	0.0012	2	0.2500	0.85	4.0	2.046596	264	0.839844	0.000000	8.631989	6150.7
static_g4_s025_c085	46	0.0012	4	0.2500	0.85	4.0	2.046577	264	0.839844	0.000000	8.526260	6150.9
static_g2_s03125_c085	46	0.0012	2	0.3125	0.85	4.0	2.049935	264	0.839844	0.000000	10.507547	6150.7
static_g4_s03125_c085	46	0.0012	4	0.3125	0.85	4.0	2.050441	264	0.839844	0.000000	10.310745	6150.9
strong_baseline	47	0.0012	0	0.0	0.0	0.0	2.092640	264				6094.7
static_g1_s025_c085	47	0.0012	1	0.2500	0.85	4.0	2.054110	264	0.839844	0.000000	7.921259	6150.7
static_g2_s025_c085	47	0.0012	2	0.2500	0.85	4.0	2.058244	264	0.839844	0.000000	7.281566	6150.7
static_g4_s025_c085	47	0.0012	4	0.2500	0.85	4.0	2.053371	264	0.839844	0.000000	7.786758	6150.9
static_g2_s03125_c085	47	0.0012	2	0.3125	0.85	4.0	2.058774	264	0.839844	0.000000	9.019291	6150.7
static_g4_s03125_c085	47	0.0012	4	0.3125	0.85	4.0	2.053773	264	0.839844	0.000000	9.682211	6150.9
strong_baseline	48	0.0012	0	0.0	0.0	0.0	2.243005	264				6094.7
static_g1_s025_c085	48	0.0012	1	0.2500	0.85	4.0	2.046396	264	0.839844	0.000000	8.820129	6150.7
static_g2_s025_c085	48	0.0012	2	0.2500	0.85	4.0	2.047955	264	0.839844	0.000000	8.798755	6150.7
static_g4_s025_c085	48	0.0012	4	0.2500	0.85	4.0	2.047422	264	0.839844	0.000000	8.730304	6150.9
static_g2_s03125_c085	48	0.0012	2	0.3125	0.85	4.0	2.049893	264	0.839844	0.000000	10.521793	6150.7
static_g4_s03125_c085	48	0.0012	4	0.3125	0.85	4.0	2.049235	264	0.839844	0.000000	10.639372	6150.9
