config	seed	input_mode	smear	hash_dim	bigram_banks	bigram_buckets	trigram_banks	trigram_buckets	peak_vram_mb	val_bpb	num_steps	attnres_final_latest	attnres_final_x0	attnres_final_register	attnres_final_entropy	attnres_input_memory_bigram_rms	attnres_input_memory_trigram_rms	attnres_input_memory_smear_gate	attnres_input_memory_delta_norm	attnres_input_memory_embed_grad_norm	attnres_input_memory_bigram_proj_grad_norm	attnres_input_memory_trigram_proj_grad_norm	attnres_input_memory_smear_gate_grad_norm
strong_baseline	45	off	0	0	0	0	0	0	6094.7	2.152158	264	0.002210	0.413843	0.000000	0.716535								
blend_ngram_ref	45	blend	0	0	4	1048576	0	0	17826.5	1.843833	264	0.257144	0.050456	0.000000	1.261477								
input_bigram_hash	45	bigram	0	64	4	16384	0	0	6129.4	2.073734	264	0.000875	0.833403	0.000000	0.491144	0.067540			1.323515	0.345843	0.484008		
input_bigram_hash_smear	45	bigram	1	64	4	16384	0	0	6153.4	2.071081	264	0.000833	0.837469	0.000000	0.480082	0.067014		0.019653	1.288018	0.344230	0.487959		0.000136
input_bigram_trigram_hash	45	bigram_trigram	0	64	4	16384	4	16384	6159.0	2.145520	264	0.002344	0.741181	0.000000	0.722310	0.121342	0.076310		2.816001	0.384226	0.302013	0.289971	
strong_baseline	46	off	0	0	0	0	0	0	6094.7	2.128361	264	0.010318	0.452291	0.000000	0.782822								
blend_ngram_ref	46	blend	0	0	4	1048576	0	0	17826.5	1.839399	264	0.136293	0.324569	0.000000	1.815636								
input_bigram_hash	46	bigram	0	64	4	16384	0	0	6129.4	2.048326	264	0.000435	0.819733	0.000000	0.523889	0.060522			1.185993	0.337909	0.532403		
input_bigram_hash_smear	46	bigram	1	64	4	16384	0	0	6153.4	2.046732	264	0.000952	0.821023	0.000000	0.535638	0.060420		0.019897	1.161074	0.335496	0.527458		0.000133
input_bigram_trigram_hash	46	bigram_trigram	0	64	4	16384	4	16384	6159.0	2.145258	264	0.001507	0.687190	0.000000	0.807260	0.116884	0.075662		2.735485	0.375921	0.312961	0.285702	
strong_baseline	47	off	0	0	0	0	0	0	6094.7	2.092640	264	0.000344	0.516268	0.000000	0.634624								
blend_ngram_ref	47	blend	0	0	4	1048576	0	0	17826.5	1.839032	264	0.186165	0.256048	0.000000	1.763486								
input_bigram_hash	47	bigram	0	64	4	16384	0	0	6129.4	2.072153	264	0.001427	0.716020	0.000000	0.774675	0.073925			1.448624	0.343362	0.483717		
input_bigram_hash_smear	47	bigram	1	64	4	16384	0	0	6153.4	2.097993	264	0.002590	0.630196	0.000000	0.895058	0.087022		0.019409	1.673057	0.348100	0.447198		0.000160
input_bigram_trigram_hash	47	bigram_trigram	0	64	4	16384	4	16384	6159.0	2.269951	264	0.002141	0.632117	0.000000	0.825507	0.149959	0.117952		3.752193	0.374092	0.257694	0.241481	
strong_baseline	48	off	0	0	0	0	0	0	6094.7	2.243005	264	0.007562	0.244680	0.000000	0.836204								
blend_ngram_ref	48	blend	0	0	4	1048576	0	0	17826.5	1.842376	264	0.180674	0.273839	0.000000	1.621827								
input_bigram_hash	48	bigram	0	64	4	16384	0	0	6129.4	2.095325	264	0.000801	0.797619	0.000000	0.597671	0.079910			1.565905	0.351723	0.455099		
input_bigram_hash_smear	48	bigram	1	64	4	16384	0	0	6153.4	2.086139	264	0.000823	0.822574	0.000000	0.531642	0.077136		0.019531	1.482802	0.350766	0.471326		0.000152
input_bigram_trigram_hash	48	bigram_trigram	0	64	4	16384	4	16384	6159.0	2.316478	264	0.005455	0.443333	0.000000	1.109917	0.151951	0.125875		3.878068	0.359408	0.245641	0.220528	
