config	seed	input_mode	smear	input_scale	bigram_scale	trigram_scale	smear_bias_init	peak_vram_mb	val_bpb	num_steps	attnres_final_latest	attnres_final_x0	attnres_final_register	attnres_final_entropy	attnres_input_memory_bigram_rms	attnres_input_memory_trigram_rms	attnres_input_memory_smear_gate	attnres_input_memory_delta_norm	attnres_input_memory_embed_grad_norm	attnres_input_memory_bigram_proj_grad_norm	attnres_input_memory_trigram_proj_grad_norm	attnres_input_memory_smear_gate_grad_norm
strong_baseline	45	off	0	0	0	0	0	6094.7	2.152158	264	0.002210	0.413843	0.000000	0.716535								
input_bigram_smear_ref	45	bigram	1	1.0	1.0	1.0	-4.0	6153.4	2.071081	264	0.000833	0.837469	0.000000	0.480082	0.067014		0.019653	1.288018	0.344230	0.487959		0.000136
input_bigram_smear_s050	45	bigram	1	0.5	1.0	1.0	-4.0	6153.4	1.994467	264	0.000244	0.897322	0.000000	0.323469	0.067271		0.019775	0.646402	0.288072	0.366211		0.000086
input_bigram_smear_s025	45	bigram	1	0.25	1.0	1.0	-4.0	6153.4	1.970391	264	0.000474	0.803130	0.000000	0.516277	0.095934		0.019531	0.461004	0.258549	0.225028		0.000076
input_bigram_smear_s050_b2	45	bigram	1	0.5	1.0	1.0	-2.0	6153.4	1.995557	264	0.000193	0.889671	0.000000	0.340062	0.072266		0.125977	0.626851	0.286074	0.337891		0.000515
input_bigram_trigram_t025_s050	45	bigram_trigram	0	0.5	1.0	0.25	-4.0	6159.0	2.437647	264	0.141859	0.155737	0.000000	1.325618	0.152530	0.044012		1.561197	0.230507	0.194603	0.050799	
input_bigram_trigram_t010_s050	45	bigram_trigram	0	0.5	1.0	0.10	-4.0	6159.0	2.170612	264	0.001465	0.650737	0.000000	0.771643	0.108602	0.017807		1.080662	0.300207	0.286204	0.025932	
strong_baseline	46	off	0	0	0	0	0	6094.7	2.128361	264	0.010318	0.452291	0.000000	0.782822								
input_bigram_smear_ref	46	bigram	1	1.0	1.0	1.0	-4.0	6153.4	2.046732	264	0.000952	0.821023	0.000000	0.535638	0.060420		0.019897	1.161074	0.335496	0.527458		0.000133
input_bigram_smear_s050	46	bigram	1	0.5	1.0	1.0	-4.0	6153.4	2.002415	264	0.000258	0.837947	0.000000	0.432511	0.073439		0.019897	0.705558	0.294038	0.368442		0.000099
input_bigram_smear_s025	46	bigram	1	0.25	1.0	1.0	-4.0	6153.4	1.956259	264	0.000697	0.767036	0.000000	0.604784	0.094843		0.019653	0.455719	0.260873	0.224283		0.000073
input_bigram_smear_s050_b2	46	bigram	1	0.5	1.0	1.0	-2.0	6153.4	1.979618	264	0.000652	0.830176	0.000000	0.494870	0.071092		0.125977	0.616248	0.287022	0.355912		0.000513
input_bigram_trigram_t025_s050	46	bigram_trigram	0	0.5	1.0	0.25	-4.0	6159.0	1.980849	264	0.000775	0.902177	0.000000	0.332411	0.066772	0.026986		0.709874	0.291143	0.350936	0.083658	
input_bigram_trigram_t010_s050	46	bigram_trigram	0	0.5	1.0	0.10	-4.0	6159.0	1.977101	264	0.000774	0.902505	0.000000	0.335010	0.063412	0.016819		0.646582	0.284154	0.368484	0.034742	
strong_baseline	47	off	0	0	0	0	0	6094.7	2.092640	264	0.000344	0.516268	0.000000	0.634624								
input_bigram_smear_ref	47	bigram	1	1.0	1.0	1.0	-4.0	6153.4	2.097993	264	0.002590	0.630196	0.000000	0.895058	0.087022		0.019409	1.673057	0.348100	0.447198		0.000160
input_bigram_smear_s050	47	bigram	1	0.5	1.0	1.0	-4.0	6153.4	2.017215	264	0.000634	0.766482	0.000000	0.562586	0.075697		0.019653	0.727425	0.295519	0.361749		0.000108
input_bigram_smear_s025	47	bigram	1	0.25	1.0	1.0	-4.0	6153.4	1.977949	264	0.000629	0.767357	0.000000	0.544820	0.098741		0.019531	0.474544	0.262655	0.226911		0.000083
input_bigram_smear_s050_b2	47	bigram	1	0.5	1.0	1.0	-2.0	6153.4	2.013829	264	0.000723	0.776503	0.000000	0.553441	0.078445		0.125000	0.680560	0.289935	0.338597		0.000572
input_bigram_trigram_t025_s050	47	bigram_trigram	0	0.5	1.0	0.25	-4.0	6159.0	2.093807	264	0.000910	0.767285	0.000000	0.591118	0.096413	0.034417		1.007302	0.305177	0.308044	0.070245	
input_bigram_trigram_t010_s050	47	bigram_trigram	0	0.5	1.0	0.10	-4.0	6159.0	2.105588	264	0.008356	0.618459	0.000000	0.638338	0.093119	0.017435		0.931531	0.301612	0.322521	0.028729	
strong_baseline	48	off	0	0	0	0	0	6094.7	2.243005	264	0.007562	0.244680	0.000000	0.836204								
input_bigram_smear_ref	48	bigram	1	1.0	1.0	1.0	-4.0	6153.4	2.086139	264	0.000823	0.822574	0.000000	0.531642	0.077136		0.019531	1.482802	0.350766	0.471326		0.000152
input_bigram_smear_s050	48	bigram	1	0.5	1.0	1.0	-4.0	6153.4	2.006948	264	0.000694	0.830866	0.000000	0.502714	0.075074		0.019775	0.721497	0.292284	0.360035		0.000107
input_bigram_smear_s025	48	bigram	1	0.25	1.0	1.0	-4.0	6153.4	1.972476	264	0.000413	0.812437	0.000000	0.501116	0.098055		0.019531	0.471272	0.261075	0.229083		0.000078
input_bigram_smear_s050_b2	48	bigram	1	0.5	1.0	1.0	-2.0	6153.4	2.000790	264	0.000573	0.832410	0.000000	0.480800	0.078102		0.125977	0.678099	0.288003	0.335761		0.000551
input_bigram_trigram_t025_s050	48	bigram_trigram	0	0.5	1.0	0.25	-4.0	6159.0	2.161178	264	0.000727	0.673899	0.000000	0.626635	0.110945	0.037334		1.151384	0.319819	0.286299	0.066739	
input_bigram_trigram_t010_s050	48	bigram_trigram	0	0.5	1.0	0.10	-4.0	6159.0	2.450482	264	0.005687	0.559557	0.000000	0.812646	0.217689	0.029081		2.162735	0.728330	0.264571	0.020410	
