config	seed	source	rank	bigram_buckets	bigram_banks	gate_cap	peak_vram_mb	val_bpb	num_steps	attnres_final_latest	attnres_final_x0	attnres_final_register	attnres_final_entropy	attnres_final_memory_gate	attnres_final_memory_delta_norm	attnres_final_memory_rms	attnres_final_memory_embed_grad_norm	attnres_final_memory_proj_grad_norm	attnres_final_memory_gate_bias_grad_norm
strong_baseline	45	off	0	0	0	0	3199.8	2.153608	264	0.000137	0.230903	0.000000	0.515505						
blend_ngram_ref	45	tied_bigram	0	1048576	4	0.85	15749.0	1.845254	264	0.333600	0.051632	0.000000	1.209216	0.839844	11.545868	0.249996	0.133534		0.002124
lightblend_r96_b256k_c085	45	tied_bigram_factorized	96	262144	4	0.85	3991.9	1.849036	264	0.183676	0.168071	0.000000	1.806280	0.839844	7.358298	0.249985	0.145961	0.072287	0.001945
lightblend_r96_b256k_c080	45	tied_bigram_factorized	96	262144	4	0.80	3991.9	1.849789	264	0.021598	0.342080	0.000000	1.344042	0.789062	5.464595	0.249986	0.145806	0.070910	0.000795
lightblend_r96_b512k_c085	45	tied_bigram_factorized	96	524288	4	0.85	4766.7	1.844923	264	0.215999	0.171214	0.000000	1.806206	0.839844	7.585313	0.249987	0.141736	0.072228	0.001378
lightblend_r96_b512k_c080	45	tied_bigram_factorized	96	524288	4	0.80	4766.7	1.842295	264	0.088228	0.249980	0.000000	1.702469	0.789062	5.901888	0.249987	0.141083	0.071185	0.000812
lightblend_r128_b256k_c085	45	tied_bigram_factorized	128	262144	4	0.85	4254.0	1.842542	264	0.219279	0.174946	0.000000	1.802905	0.839844	7.531766	0.249986	0.138104	0.079072	0.001443
lightblend_r128_b256k_c080	45	tied_bigram_factorized	128	262144	4	0.80	4254.0	1.837754	264	0.089102	0.278744	0.000000	1.785254	0.789062	5.992778	0.249987	0.137234	0.077854	0.000563
lightblend_r128_b512k_c085	45	tied_bigram_factorized	128	524288	4	0.85	5277.8	1.839857	264	0.211659	0.196093	0.000000	1.813633	0.839844	7.633175	0.249988	0.133778	0.078947	0.001852
lightblend_r128_b512k_c080	45	tied_bigram_factorized	128	524288	4	0.80	5277.8	1.837516	264	0.038762	0.266601	0.000000	1.619346	0.789062	5.851081	0.249987	0.133423	0.077940	0.000768
