config	seed	source	rank	bigram_buckets	bigram_banks	peak_vram_mb	val_bpb	num_steps	attnres_final_latest	attnres_final_x0	attnres_final_register	attnres_final_entropy	attnres_final_memory_gate	attnres_final_memory_delta_norm	attnres_final_memory_rms	attnres_final_memory_embed_grad_norm	attnres_final_memory_proj_grad_norm
strong_baseline	45	off	0	0	0	3199.8	2.153608	264	0.000137	0.230903	0.000000	0.515505					
blend_ngram_ref	45	tied_bigram	0	1048576	4	15749.0	1.845254	264	0.333600	0.051632	0.000000	1.209216	0.839844	11.545868	0.249996	0.133534	
lightblend_r32_b64k	45	tied_bigram_factorized	32	65536	4	3297.0	1.890307	264	0.294934	0.147002	0.000000	1.554124	0.839844	7.262647	0.249984	0.188332	0.046463
lightblend_r64_b64k	45	tied_bigram_factorized	64	65536	4	3356.8	1.870805	264	0.236487	0.123037	0.000000	1.750880	0.839844	7.195899	0.249983	0.172558	0.060330
lightblend_r64_b256k	45	tied_bigram_factorized	64	262144	4	3740.0	1.855948	264	0.037917	0.182045	0.000000	1.557706	0.839844	7.232220	0.249986	0.157636	0.063371
lightblend_r96_b256k	45	tied_bigram_factorized	96	262144	4	3991.9	1.849036	264	0.183676	0.168071	0.000000	1.806280	0.839844	7.358298	0.249985	0.145961	0.072287
strong_baseline	46	off	0	0	0	3199.8	2.145530	264	0.004251	0.406807	0.000000	0.815109					
blend_ngram_ref	46	tied_bigram	0	1048576	4	15749.0	1.836301	264	0.127727	0.310073	0.000000	1.836951	0.839844	13.052635	0.249994	0.130432	
lightblend_r32_b64k	46	tied_bigram_factorized	32	65536	4	3297.0	1.886839	264	0.215879	0.191405	0.000000	1.755410	0.839844	7.539726	0.249984	0.188712	0.047455
lightblend_r64_b64k	46	tied_bigram_factorized	64	65536	4	3356.8	1.868977	264	0.195937	0.196480	0.000000	1.727024	0.839844	7.243315	0.249984	0.171781	0.061385
lightblend_r64_b256k	46	tied_bigram_factorized	64	262144	4	3740.0	1.855009	264	0.254807	0.224093	0.000000	1.570594	0.839844	7.444623	0.249987	0.156828	0.063691
lightblend_r96_b256k	46	tied_bigram_factorized	96	262144	4	3991.9	1.850837	264	0.318291	0.201661	0.000000	1.636034	0.839844	7.202860	0.249986	0.146002	0.072739
strong_baseline	47	off	0	0	0	3199.8	2.102808	264	0.000303	0.628997	0.000000	0.612428					
blend_ngram_ref	47	tied_bigram	0	1048576	4	15749.0	1.839398	264	0.144106	0.274752	0.000000	1.835868	0.839844	12.426688	0.249995	0.130398	
lightblend_r32_b64k	47	tied_bigram_factorized	32	65536	4	3297.0	1.886722	264	0.218917	0.184604	0.000000	1.630266	0.839844	7.723692	0.249983	0.186792	0.047623
lightblend_r64_b64k	47	tied_bigram_factorized	64	65536	4	3356.8	1.871993	264	0.148063	0.175419	0.000000	1.670690	0.839844	7.174600	0.249983	0.172819	0.061857
lightblend_r64_b256k	47	tied_bigram_factorized	64	262144	4	3740.0	1.855453	264	0.327972	0.190529	0.000000	1.472632	0.839844	7.443803	0.249986	0.157582	0.064589
lightblend_r96_b256k	47	tied_bigram_factorized	96	262144	4	3991.9	1.848972	264	0.235967	0.131024	0.000000	1.675021	0.839844	7.402740	0.249988	0.146595	0.073869
strong_baseline	48	off	0	0	0	3199.8	2.100819	264	0.000673	0.598694	0.000000	0.686767					
blend_ngram_ref	48	tied_bigram	0	1048576	4	15749.0	1.842246	264	0.400329	0.093998	0.000000	1.080358	0.839844	11.895689	0.249995	0.132253	
lightblend_r32_b64k	48	tied_bigram_factorized	32	65536	4	3297.0	1.892195	264	0.334079	0.103710	0.000000	1.370782	0.839844	7.222910	0.249983	0.188124	0.048591
lightblend_r64_b64k	48	tied_bigram_factorized	64	65536	4	3356.8	1.872343	264	0.496373	0.180305	0.000000	1.250175	0.839844	6.846398	0.249983	0.172271	0.063664
lightblend_r64_b256k	48	tied_bigram_factorized	64	262144	4	3740.0	1.857203	264	0.294146	0.145134	0.000000	1.701767	0.839844	7.407042	0.249986	0.157302	0.065406
lightblend_r96_b256k	48	tied_bigram_factorized	96	262144	4	3991.9	1.846404	264	0.096527	0.183245	0.000000	1.724487	0.839844	7.540114	0.249986	0.146557	0.074502
