config	seed	source	rank	bigram_buckets	bigram_banks	gate_cap	peak_vram_mb	val_bpb	num_steps	attnres_final_latest	attnres_final_x0	attnres_final_register	attnres_final_entropy	attnres_final_memory_gate	attnres_final_memory_delta_norm	attnres_final_memory_rms	attnres_final_memory_embed_grad_norm	attnres_final_memory_proj_grad_norm	attnres_final_memory_gate_bias_grad_norm
strong_baseline	49	off	0	0	0	0	3199.8	2.324117	264	0.052810	0.269961	0.000000	1.267464						
blend_ngram_ref	49	tied_bigram	0	1048576	4	0.85	15749.0	1.842666	264	0.197313	0.251858	0.000000	1.792006	0.839844	12.233227	0.249996	0.132081		0.001739
lightblend_r128_b512k_c085	49	tied_bigram_factorized	128	524288	4	0.85	5277.8	1.842247	264	0.248250	0.177124	0.000000	1.567274	0.839844	7.183968	0.249987	0.134625	0.081138	0.001817
lightblend_r128_b256k_c080	49	tied_bigram_factorized	128	262144	4	0.80	4254.0	1.839549	264	0.173074	0.218551	0.000000	1.764505	0.789062	5.810082	0.249988	0.138085	0.079594	0.000672
strong_baseline	50	off	0	0	0	0	3199.8	2.211216	264	0.000340	0.656960	0.000000	0.566112						
blend_ngram_ref	50	tied_bigram	0	1048576	4	0.85	15749.0	1.840887	264	0.168992	0.273891	0.000000	1.799982	0.839844	12.781931	0.249996	0.130982		0.001493
lightblend_r128_b512k_c085	50	tied_bigram_factorized	128	524288	4	0.85	5277.8	1.836052	264	0.294386	0.154686	0.000000	1.654621	0.839844	7.923120	0.249987	0.134398	0.080580	0.000607
lightblend_r128_b256k_c080	50	tied_bigram_factorized	128	262144	4	0.80	4254.0	1.844256	264	0.087061	0.190391	0.000000	1.719437	0.789062	5.644267	0.249988	0.139096	0.080746	0.001264
strong_baseline	51	off	0	0	0	0	3199.8	2.189320	264	0.001014	0.379144	0.000000	0.638943						
blend_ngram_ref	51	tied_bigram	0	1048576	4	0.85	15749.0	1.839157	264	0.107298	0.303470	0.000000	1.836155	0.839844	12.748320	0.249995	0.130781		0.001424
lightblend_r128_b512k_c085	51	tied_bigram_factorized	128	524288	4	0.85	5277.8	1.836933	264	0.165169	0.158579	0.000000	1.780238	0.839844	7.944726	0.249988	0.133905	0.080764	0.001122
lightblend_r128_b256k_c080	51	tied_bigram_factorized	128	262144	4	0.80	4254.0	1.842311	264	0.083903	0.266986	0.000000	1.596894	0.789062	5.631921	0.249987	0.137990	0.080527	0.000975
strong_baseline	52	off	0	0	0	0	3199.8	2.098852	264	0.002596	0.464737	0.000000	0.793402						
blend_ngram_ref	52	tied_bigram	0	1048576	4	0.85	15749.0	1.837601	264	0.149770	0.294596	0.000000	1.808542	0.839844	13.136358	0.249996	0.130749		0.001567
lightblend_r128_b512k_c085	52	tied_bigram_factorized	128	524288	4	0.85	5277.8	1.843632	264	0.049810	0.244634	0.000000	1.414361	0.839844	6.914723	0.249988	0.134239	0.080225	0.001904
lightblend_r128_b256k_c080	52	tied_bigram_factorized	128	262144	4	0.80	4254.0	1.848525	264	0.024141	0.205958	0.000000	1.279313	0.789062	5.235890	0.249987	0.138800	0.080618	0.001281
