config	seed	mode	source	banks	bigram_buckets	value_scale	q_mod_scale	k_mod_scale	v_mod_scale	peak_vram_mb	val_bpb	num_steps	attnres_final_latest	attnres_final_x0	attnres_final_register	attnres_final_entropy	attnres_final_memory_rms	attnres_final_memory_mod_q_delta_norm	attnres_final_memory_mod_k_delta_norm	attnres_final_memory_mod_v_delta_norm	attnres_final_memory_mod_k_scale_mean	attnres_final_memory_mod_v_scale_mean	attnres_wte_grad_norm	attnres_final_memory_embed_grad_norm	attnres_final_memory_q_mod_proj_grad_norm	attnres_final_memory_k_mod_proj_grad_norm	attnres_final_memory_v_mod_proj_grad_norm
strong_baseline	45	off	off	0	0	0.0	0.0	0.0	0.0	3199.8	2.153608	264	0.000137	0.230903	0.000000	0.515505							0.131427				
blend_ngram_ref	45	static	tied_bigram	4	1048576	0.25	0.0	0.0	0.0	15748.0	1.845254	264	0.333600	0.051632	0.000000	1.209216	0.249996						0.075965	0.133534			
modqkv_q001_k002_v002	45	modqkv	tied_bigram	4	1048576	0.25	0.01	0.02	0.02	15665.0	2.013193	264	0.053181	0.105284	0.000000	1.046994	0.249995	0.147719	0.320582	0.292148	1.000417	0.999723	0.124210	0.040956	0.019815	0.000457	0.001018
modqkv_q002_k005_v005	45	modqkv	tied_bigram	4	1048576	0.25	0.02	0.05	0.05	15665.0	1.989714	264	0.028115	0.173845	0.000000	1.147993	0.249994	0.269093	0.787992	0.697972	0.999299	0.998937	0.124090	0.044398	0.035717	0.001192	0.002745
modqkv_q002_k005_v002	45	modqkv	tied_bigram	4	1048576	0.25	0.02	0.05	0.02	15665.0	1.996907	264	0.028389	0.194561	0.000000	1.143831	0.249994	0.267223	0.792825	0.288735	0.999100	0.999632	0.123973	0.042423	0.036010	0.001224	0.001062
modqkv_q002_k008_v002	45	modqkv	tied_bigram	4	1048576	0.25	0.02	0.08	0.02	15665.0	1.996052	264	0.027423	0.196368	0.000000	1.162012	0.249995	0.265664	1.264035	0.289156	0.999469	0.999655	0.124380	0.042909	0.035665	0.001909	0.001060
modqkv_q003_k008_v002	45	modqkv	tied_bigram	4	1048576	0.25	0.03	0.08	0.02	15665.0	1.999539	264	0.027075	0.189104	0.000000	1.062593	0.249994	0.366032	1.249942	0.289223	0.998374	0.999482	0.124883	0.044328	0.052145	0.002195	0.001055
modqkv_q003_k010_v002	45	modqkv	tied_bigram	4	1048576	0.25	0.03	0.10	0.02	15665.0	1.999471	264	0.027010	0.190673	0.000000	1.063719	0.249994	0.366015	1.558138	0.289515	0.997768	0.999485	0.124404	0.044350	0.052367	0.002780	0.001054
modqkv_q004_k010_v002	45	modqkv	tied_bigram	4	1048576	0.25	0.04	0.10	0.02	15665.0	2.002347	264	0.024673	0.189142	0.000000	0.951385	0.249994	0.441654	1.532276	0.290877	0.999142	0.999393	0.124963	0.046404	0.072472	0.003018	0.001049
strong_baseline	46	off	off	0	0	0.0	0.0	0.0	0.0	3199.8	2.145530	264	0.004251	0.406807	0.000000	0.815109							0.157527				
blend_ngram_ref	46	static	tied_bigram	4	1048576	0.25	0.0	0.0	0.0	15748.0	1.836301	264	0.127727	0.310073	0.000000	1.836951	0.249994						0.080929	0.130432			
modqkv_q001_k002_v002	46	modqkv	tied_bigram	4	1048576	0.25	0.01	0.02	0.02	15665.0	2.054310	264	0.056627	0.138511	0.000000	1.319548	0.249994	0.146153	0.334716	0.287252	1.001255	0.999798	0.108146	0.044931	0.021602	0.000384	0.000980
modqkv_q002_k005_v005	46	modqkv	tied_bigram	4	1048576	0.25	0.02	0.05	0.05	15665.0	2.015620	264	0.039901	0.149822	0.000000	1.156134	0.249994	0.284213	0.813215	0.700313	1.000737	0.999060	0.115586	0.045405	0.031801	0.001099	0.002720
modqkv_q002_k005_v002	46	modqkv	tied_bigram	4	1048576	0.25	0.02	0.05	0.02	15665.0	2.021523	264	0.043212	0.165670	0.000000	1.190128	0.249995	0.282337	0.814100	0.287665	1.001120	0.999595	0.115650	0.046121	0.034895	0.001139	0.001033
modqkv_q002_k008_v002	46	modqkv	tied_bigram	4	1048576	0.25	0.02	0.08	0.02	15665.0	2.021166	264	0.042368	0.162284	0.000000	1.189225	0.249995	0.283390	1.302653	0.287355	1.003161	0.999600	0.115497	0.046111	0.034788	0.001803	0.001024
modqkv_q003_k008_v002	46	modqkv	tied_bigram	4	1048576	0.25	0.03	0.08	0.02	15665.0	2.022028	264	0.036221	0.181829	0.000000	1.086554	0.249996	0.404791	1.289931	0.289327	1.003233	0.999532	0.116488	0.045024	0.045096	0.002084	0.001030
modqkv_q003_k010_v002	46	modqkv	tied_bigram	4	1048576	0.25	0.03	0.10	0.02	15665.0	2.022427	264	0.035339	0.180824	0.000000	1.084287	0.249995	0.404794	1.611773	0.289130	1.004241	0.999529	0.116581	0.045125	0.045839	0.002613	0.001036
