config	seed	source	groups	banks	bigram_buckets	value_scale	gate_cap	peak_vram_mb	val_bpb	num_steps	attnres_final_memory_gate	attnres_final_memory_gate_std	attnres_final_memory_delta_norm
strong_baseline	45	off	0	0	0	0.0	0.0	6094.7	2.152158	264			
unigram_only_matched	45	tied	4	0	0	0.25	0.85	6143.9	2.050031	264	0.839844	0.000000	8.279055
unigram_only_best	45	tied	4	0	0	0.25	0.80	6143.9	2.053061	264	0.789062	0.000000	5.820427
bigram_only_4x1m	45	tied_bigram_only	4	4	1048576	0.25	0.85	17823.4	1.921581	264	0.835938	0.000000	33.562958
unigram_plus_bigram_4x1m	45	tied_bigram	4	4	1048576	0.25	0.85	17826.5	1.843824	264	0.839844	0.000000	11.723331
strong_baseline	46	off	0	0	0	0.0	0.0	6094.7	2.128361	264			
unigram_only_matched	46	tied	4	0	0	0.25	0.85	6143.9	2.050952	264	0.839844	0.000000	8.152653
unigram_only_best	46	tied	4	0	0	0.25	0.80	6143.9	2.050261	264	0.789062	0.000000	6.029138
bigram_only_4x1m	46	tied_bigram_only	4	4	1048576	0.25	0.85	17823.4	1.987384	264	0.835938	0.000000	26.086388
unigram_plus_bigram_4x1m	46	tied_bigram	4	4	1048576	0.25	0.85	17826.5	1.839840	264	0.839844	0.000000	12.886210
strong_baseline	47	off	0	0	0	0.0	0.0	6094.7	2.092640	264			
unigram_only_matched	47	tied	4	0	0	0.25	0.85	6143.9	2.048684	264	0.839844	0.000000	8.141209
unigram_only_best	47	tied	4	0	0	0.25	0.80	6143.9	2.046282	264	0.789062	0.000000	6.335278
bigram_only_4x1m	47	tied_bigram_only	4	4	1048576	0.25	0.85	17823.4	1.919473	264	0.835938	0.000000	33.592670
unigram_plus_bigram_4x1m	47	tied_bigram	4	4	1048576	0.25	0.85	17826.5	1.839194	264	0.839844	0.000000	12.735472
strong_baseline	48	off	0	0	0	0.0	0.0	6094.7	2.243005	264			
unigram_only_matched	48	tied	4	0	0	0.25	0.85	6143.9	2.051231	264	0.839844	0.000000	8.187122
unigram_only_best	48	tied	4	0	0	0.25	0.80	6143.9	2.055781	264	0.789062	0.000000	5.558049
bigram_only_4x1m	48	tied_bigram_only	4	4	1048576	0.25	0.85	17823.4	1.945951	264	0.835938	0.000000	30.122511
unigram_plus_bigram_4x1m	48	tied_bigram	4	4	1048576	0.25	0.85	17826.5	1.841023	264	0.839844	0.000000	12.245514
